,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
0,Torre Superficial,1.52,4.11,7.3,19.6,7.5,104.8,43.6,209.0,30.0,154.85,32.56,0.015,8.0,1,0.332,1.753,0.046,2.6,2.37,0.95,2,0,0.015,2.977,0.007,0.686,1.916,0.042,1.819,0.332,0.142
1,Torre Media,0.17,0.47,7.0,18.6,6.8,93.4,51.3,216.9,10.0,176.3,29.46,0.028,16.0,2,0.363,1.608,0.037,2.3,2.37,0.95,3,0,0.025,3.907,0.007,0.781,2.466,0.038,1.036,0.363,0.155
2,Torre Profua,1.52,4.11,6.8,17.5,5.2,70.5,55.4,214.1,50.0,232.28,65.89,0.036,12.0,18,0.444,1.963,0.039,2.0,1.78,1.13,0,0,0.029,4.605,0.008,1.029,2.702,0.085,1.231,0.444,0.143
3,Presa,1.75,4.73,7.3,19.3,7.7,106.9,41.4,205.8,10.0,202.48,58.91,0.052,11.0,3,0.427,2.244,0.054,2.4,4.15,0.0,10,0,0.022,4.662,0.009,0.897,1.736,0.076,3.08,0.427,0.163
4,Potreros,1.9428468468468467,0.0,7.3,20.0,7.4,104.2,41.9,193.7,10.0,149.44,15.5,0.02,13.0,1,0.306,1.664,0.037,2.2,2.37,0.3,0,0,0.04,2.953,0.007,0.662,1.809,0.02,0.917,0.306,0.139
5,PalmasEsp.Santo,3.03,8.2,7.2,19.1,7.4,102.7,50.5,162.6,10.0,169.53,27.13,0.021,19.0,4,0.389,1.6001,0.045,2.8,1.18,2.55,0,0,0.013,3.712,0.008,0.751,2.334,0.035,0.914,0.389,0.19
6,Descarga Bombeo,2.74,7.4,7.4,19.4,7.6,106.7,41.5,199.5,10.0,159.14,31.78,0.014,15.0,2,0.351,1.83,0.04,2.2,7.11,0.06,0,0,0.027,3.340567730749287,0.027,0.027,0.027,0.027,0.027,0.027,0.027
7,Torre Superficial,3.02,8.16,7.7,20.8,7.8,113.4,43.3,111.3,43.50093808630394,154.85,72.87,0.042,11.0,2,0.324,2.3328,0.07452730696798493,3.3128544423440456,4.15,0.41,23,0,0.019,3.559,0.024259911894273126,0.61,2.045,0.094,1.269,0.324,0.113
8,Torre Media,3.02,8.16,7.1,19.5,6.9,98.7,58.9,129.5,43.50093808630394,176.3,90.3,0.044,8.0,4,0.43,2.4562,0.07452730696798493,3.3128544423440456,8.29,0.83,23,0,0.025,5.796,0.055,0.824,3.42,0.07,1.072,0.43,0.173
9,Torre Profua,3.02,8.16,6.8,18.7,5.3,73.6,56.4,128.1,43.50093808630394,232.28,123.25,0.044,6.0,3,0.496,2.5677,0.07452730696798493,3.3128544423440456,2.37,5.09,12,0,0.02,5.817,0.061,0.787,3.594,0.159,1.934,0.496,0.176
10,Presa,2.56,6.92,8.6,20.3,9.0,129.3,38.5,48.0,43.50093808630394,202.48,104.65,0.041,14.0,2,0.39,2.8845,0.07452730696798493,3.3128544423440456,4.15,0.0,65,0,0.029,3.145,0.058,0.548,1.964,0.135,1.364,0.39,0.144
11,Potreros,2.6,7.03,7.4,21.0,7.6,110.2,39.5,117.3,43.50093808630394,149.44,55.81,0.055,9.0,3,0.365,2.5058,0.07452730696798493,3.3128544423440456,2.37,0.3,10,0,0.021,3.35,0.044,0.532,1.907,0.072,1.037,0.365,0.175
12,PalmasEsp.Santo,1.9428468468468467,0.0,7.4,21.1,7.6,111.5,43.6,116.3,43.50093808630394,169.53,75.97,0.03,9.0,2,0.352,2.2957,0.07452730696798493,3.3128544423440456,1.18,2.55,5,0,0.025,3.742,0.049,0.555,2.233,0.098,1.044,0.352,0.136
13,Descarga Bombeo,2.74,7.41,8.8,21.2,8.7,127.9,37.8,93.3,43.50093808630394,159.14,67.44,0.022,11.0,1,0.396,2.8229,0.07452730696798493,3.3128544423440456,7.11,0.06,2,0,0.019,2.817,0.042,0.499,1.741,0.087,1.13,0.396,0.203
14,Torre Superficial,1.6,4.33,9.8,21.3,7.153345388788427,102.17685352622063,49.8,111.7,40.0,28.67,24.03,0.012,2.0,5,0.203,2.0294,0.054,2.7,43.24,2.37,503,0,0.02,3.228,0.004,0.127,2.455,0.031,6.164,0.203,0.149
15,Torre Media,1.6,4.33,7.9,19.1,7.153345388788427,102.17685352622063,49.9,186.5,40.0,76.52,50.39,0.02,2.0,4,0.29,1.6856,0.06,3.6,47.98,6.75,373,0,0.019,3.989,0.004,0.339,2.889,0.065,4.091,0.29,0.161
16,Torre Profua,1.6,4.33,6.6,17.5,7.153345388788427,102.17685352622063,45.9,220.8,30.0,172.46,53.49,0.053,2.0,4,0.446,2.2315,0.068,3.0,5.92,0.12,23,0,0.022,3.418,0.002,0.764,2.653,0.069,3.639,0.446,0.219
17,Presa,1.8,4.87,9.9,21.5,7.153345388788427,102.17685352622063,50.3,104.7,100.0,148.76,91.47,0.036,2.0,5,0.41,2.246,0.07,3.1,21.32,29.68,290,0,0.022,3.491,0.006,0.659,2.391,0.118,0.951,0.41,0.168
18,Potreros,1.95,5.27,9.5,21.6,7.153345388788427,102.17685352622063,46.0,92.3,70.0,37.7,62.01,0.013,2.0,4,0.221,1.9389,0.058,3.0,29.62,3.55,290,0,0.019,3.221,0.003,0.167,2.407,0.08,0.951,0.221,0.12
19,PalmasEsp.Santo,1.9428468468468467,0.0,9.8,21.4,7.153345388788427,102.17685352622063,50.0,93.0,70.0,44.24,29.46,0.014,2.0,2,0.27,1.7263,0.063,3.6,12.44,0.83,50,0,0.019,3.475,0.004,0.196,2.592,0.038,7.873,0.271,0.195
20,Descarga Bombeo,2.1,5.68,9.9,22.8,7.153345388788427,102.17685352622063,49.0,58.2,50.0,20.77,30.233,0.018,2.0,3,0.236,1.9836,0.067,3.4,41.46,4.15,235,0,0.02,2.971,0.004,0.092,2.238,0.06,0.951,0.236,0.214
21,Torre Superficial,1.27,3.44,9.5,21.0,8.9,128.4,49.6,104.3,80.0,29.12,9.3,0.009,6.0,5,0.172,2.1867,0.06,2.7,120.84,11.79,807,0,0.031,3.141,0.003,0.129,1.918,0.012,2.767,0.172,0.133
22,Torre Media,1.27,3.44,6.9,18.7,3.7,52.6,59.3,205.4,30.0,127.1,17.83,0.025,2.0,5,0.306,2.1757,0.05,2.3,51.53,8.83,198,0,0.021,4.212,0.005,0.563,2.598,0.023,1.166,0.306,0.159
23,Torre Profua,1.27,3.44,6.8,18.4,3.6,50.0,52.1,198.6,30.0,114.77,26.36,0.039,2.0,7,0.314,2.1592,0.05,2.3,41.46,9.95,35,0,0.02,3.772,0.006,0.508,2.327,0.034,2.269,0.314,0.171
24,Presa,2.41,6.52,9.6,20.7,8.6,123.3,39.4,104.3,100.0,104.06,25.58,0.071,8.0,4,0.32,2.1386,0.05,2.3,31.99,5.03,130,0,0.022,2.574,0.009,0.461,1.513,0.033,3.201,0.32,0.187
25,Potreros,0.7,1.89,10.0,22.4,10.4,154.1,49.4,72.1,80.0,6.09,9.3,0.009,11.0,20,0.177,2.6802,0.05,1.9,326.97,13.09,2100,0,0.027,2.622,0.024259911894273126,0.027,1.582,0.012,1.516,0.177,0.162
26,PalmasEsp.Santo,0.56,1.51,9.8,21.6,10.4,152.4,60.5,77.5,120.0,26.86,11.63,0.009,3.0,17,0.184,2.5975,0.05,1.9,393.31,36.31,2885,0,0.027,3.596,0.024259911894273126,0.119,2.205,0.015,3.623,0.184,0.145
27,Descarga Bombeo,1.9428468468468467,0.0,9.6,21.4,8.7,126.0,42.8,85.8,0.0,17.83,28.68,0.009,6.0,3,0.171,2.2413,0.05,2.2,43.83,3.61,65,0,0.021,2.566,0.003,0.079,1.591,0.037,1.124,0.171,0.123
28,Torre Superficial,0.62,1.68,9.0,23.0,8.2,123.8,49.3,104.4,90.0,22.12,27.91,0.009,9.0,10,0.187,1.838,0.135,7.3,154.01,30.09,1715,0,0.024,3.213,0.009,0.098,1.758,0.036,0.781,0.187,0.134
29,Torre Media,0.62,1.68,7.0,20.3,4.6,65.4,60.7,167.4,120.0,110.61,30.233,0.009,4.0,6,0.307,1.606,0.058,3.6,42.65,6.69,215,0,0.019,4.655,0.012,0.49,2.692,0.06,0.992,0.307,0.193
30,Torre Profua,0.62,1.68,6.7,19.0,3.3,46.1,52.7,143.9,60.0,145.15,76.74,0.02,2.0,17,0.427,1.951,0.064,3.3,9.48,1.18,10,0,0.017,3.951,0.027,0.643,2.26,0.099,1.194,0.427,0.197
31,Presa,1.6,4.33,10.0,22.4,10.2,151.3,51.7,83.2,100.0,32.73,110.08,0.067,8.0,13,0.229,1.679,0.053,3.2,175.33,22.33,370,0,0.022,2.646,0.012,0.145,1.473,0.142,0.92,0.229,0.082
32,Potreros,0.72,1.95,8.0,21.3,5.2,76.97,48.1,131.06841046277668,40.0,21.9,26.36,0.009,7.0,7,0.166,1.7766,0.044,2.5,105.44,9.0,1155,0,0.022,3.077,0.007,0.097,1.766,0.034,0.813,0.166,0.115
33,PalmasEsp.Santo,0.67,1.81,9.6,22.3,8.5,126.4,50.9,131.06841046277668,110.0,41.31,36.43,0.009,2.0,8,0.233,1.5704,0.053,3.4,59.23,3.79,695,0,0.018,3.282,0.007,0.183,1.881,0.047,0.854,0.233,0.153
34,Descarga Bombeo,1.5,4.06,9.6,22.8,8.8,132.8,44.4,107.3,70.0,30.92,32.56,0.009,9.0,11,0.243,1.7346,0.064,3.7,29.02,11.2,170,0,0.019,2.788,0.065,0.137,1.865,0.042,0.717,0.243,0.159
35,Torre Superficial,0.47,1.27,9.0,21.1,10.4,154.0,51.8,77.0,120.0,22.12,27.91,0.039,18.0,10,0.187,1.838,0.135,7.3,81.74,130.14,1680,0,0.021,3.425,0.008,0.078,2.154,0.06,0.746,0.464,0.444
36,Torre Media,0.47,1.27,7.0,19.3,5.2,73.4,42.9,135.1,50.0,110.61,30.233,0.043,21.0,6,0.307,1.606,0.058,3.6,108.4,16.35,475,0,0.021,3.109,0.01,0.226,1.993,0.025,0.764,0.254,0.181
37,Torre Profua,0.47,1.27,6.8,18.8,4.0,55.8,54.5,143.5,40.0,145.15,76.74,0.032,12.0,5,0.427,1.951,0.064,3.3,17.77,5.03,53,0,0.018,4.563,0.01,0.285,2.795,0.039,0.782,0.234,0.136
38,Presa,1.76,4.76,10.0,21.2,10.2,148.6,47.2,31.3,30.0,32.73,110.08,0.119,19.0,4,0.229,1.679,0.053,3.2,9.48,5.03,160,0,0.019,2.687,0.01,0.192,1.687,0.103,0.743,0.282,0.156
39,Potreros,0.47,1.27,7.5,22.4,12.8,190.9,54.5,73.0,290.0,21.9,26.36,0.027,17.0,29,0.166,1.7766,0.044,2.5,658.08,161.35,4435,0,0.02,3.341,0.004,0.035,2.05,0.06,0.831,0.195,0.186
40,PalmasEsp.Santo,0.57,1.54,7.5,21.8,11.6,171.9,58.7,62.9,300.0,41.31,36.43,0.015,24.0,38,0.233,1.5704,0.053,3.4,714.95,156.02,4730,0,0.021,4.771,0.008,0.052,2.842,0.06,0.838,0.195,0.181
